Gene,Genotype(s),Therapeutic Area(s),Drug(s)
UGT1A1,*27/*80+*28,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, sacituzumab govitecan, nilotinib, dolutegravir, belinostat, pazopanib, raltegravir, irinotecan"
UGT1A1,*27/*80+*37,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, sacituzumab govitecan, nilotinib, dolutegravir, belinostat, pazopanib, raltegravir, irinotecan"
UGT1A1,*28/*28,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, sacituzumab govitecan, nilotinib, dolutegravir, belinostat, pazopanib, raltegravir, irinotecan"
UGT1A1,*28/*36,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, irinotecan"
UGT1A1,*28/*37,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, sacituzumab govitecan, nilotinib, dolutegravir, belinostat, pazopanib, raltegravir, irinotecan"
UGT1A1,*28/*80+*28,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, sacituzumab govitecan, nilotinib, dolutegravir, belinostat, pazopanib, raltegravir, irinotecan"
UGT1A1,*28/*80+*37,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, sacituzumab govitecan, nilotinib, dolutegravir, belinostat, pazopanib, raltegravir, irinotecan"
UGT1A1,*36/*36,ANTIINFECTIVES FOR SYSTEMIC USE,atazanavir
UGT1A1,*36/*37,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, irinotecan"
UGT1A1,*36/*80+*28,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, irinotecan"
UGT1A1,*36/*80+*37,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, irinotecan"
UGT1A1,*37/*37,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, sacituzumab govitecan, nilotinib, dolutegravir, belinostat, pazopanib, raltegravir, irinotecan"
UGT1A1,*37/*80+*28,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, sacituzumab govitecan, nilotinib, dolutegravir, belinostat, pazopanib, raltegravir, irinotecan"
UGT1A1,*37/*80+*37,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, sacituzumab govitecan, nilotinib, dolutegravir, belinostat, pazopanib, raltegravir, irinotecan"
UGT1A1,*80+*28/*80+*28,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, sacituzumab govitecan, nilotinib, dolutegravir, belinostat, pazopanib, raltegravir, irinotecan"
UGT1A1,*80+*28/*80+*37,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, sacituzumab govitecan, nilotinib, dolutegravir, belinostat, pazopanib, raltegravir, irinotecan"
UGT1A1,*80+*37/*80+*37,"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS, ANTIINFECTIVES FOR SYSTEMIC USE","atazanavir, sacituzumab govitecan, nilotinib, dolutegravir, belinostat, pazopanib, raltegravir, irinotecan"
